,Player,Height (m),Weight (kg),Born,NBA_Rookie,NBA_Retired,Position,Birth Date,Pos,Team
149,Gene Ollrich,180.0,72.0,1922.0,1950.0,1950.0,G,"June 30, 1922",,
150,Johnny Orr,190.0,88.0,1927.0,1950.0,1950.0,F,"June 10, 1927",,
151,Don Otten,208.0,108.0,1921.0,1950.0,1953.0,C,"April 18, 1921",,
152,Mac Otten,201.0,99.0,1925.0,1950.0,1950.0,F-C,"December 16, 1925",,
153,Red Owens,190.0,83.0,1925.0,1950.0,1952.0,G-F,"September 2, 1925",,
154,Easy Parham,190.0,90.0,1921.0,1949.0,1951.0,F-G,"December 27, 1921",,
155,Jack Parkinson,183.0,78.0,1924.0,1950.0,1950.0,G,"March 4, 1924",,
156,Charlie Parsley,188.0,79.0,1925.0,1950.0,1950.0,G,"October 13, 1925",,
157,Stan Patrick,188.0,83.0,1922.0,1950.0,1950.0,F-G,"May 5, 1922",,
158,Johnny Payak,193.0,78.0,1926.0,1950.0,1953.0,G-F,"November 20, 1926",,
159,Warren Perkins,190.0,86.0,1922.0,1950.0,1951.0,G-F,"February 2, 1922",,
160,Ed Peterson,206.0,99.0,1924.0,1950.0,1951.0,C,"June 27, 1924",,
161,Jack Phelan,196.0,88.0,1925.0,1950.0,1950.0,F,"November 6, 1925",,
162,Andy Phillip*,188.0,88.0,1922.0,,,,,,
163,Jim Pollard*,193.0,83.0,1922.0,,,,,,
164,John Pritchard,206.0,99.0,1927.0,1950.0,1950.0,C,"January 23, 1927",,
165,Les Pugh,201.0,86.0,1923.0,1949.0,1950.0,C-F,"September 18, 1922",,
166,Don Putman,201.0,86.0,1923.0,1947.0,1950.0,G,"November 13, 1922",,
167,George Ratkovicz,198.0,99.0,1922.0,1950.0,1955.0,C-F,"November 13, 1922",,
168,Don Ray,196.0,86.0,1921.0,1950.0,1950.0,F-C,"July 8, 1921",,
169,Chick Reiser,180.0,74.0,1914.0,1948.0,1950.0,G-F,"December 17, 1914",,
170,Arnie Risen*,206.0,90.0,1924.0,,,,,,
171,Tex Ritter,188.0,83.0,1924.0,1949.0,1951.0,G-F,"February 26, 1924",,
172,Bill Roberts,206.0,95.0,1925.0,1949.0,1950.0,C,"March 13, 1925",,
173,Red Rocha,206.0,83.0,1923.0,1948.0,1957.0,C-F,"September 18, 1923",,
174,Kenny Rollins,183.0,76.0,1923.0,1949.0,1953.0,G,"September 14, 1923",,
175,Bob Royer,178.0,70.0,1927.0,1950.0,1950.0,G,"October 15, 1927",,
176,Jerry Rullo,178.0,74.0,1923.0,1947.0,1950.0,G,"June 23, 1923",,
177,Ed Sadowski,196.0,108.0,1917.0,1947.0,1950.0,C,"July 11, 1917",,
178,Kenny Sailors,178.0,79.0,1921.0,1947.0,1951.0,G,"January 14, 1921",,
179,Pep Saul,188.0,83.0,1924.0,1950.0,1955.0,G-F,"February 16, 1924",,
180,Herm Schaefer,183.0,79.0,1918.0,1949.0,1950.0,G-F,"December 20, 1918",,
181,Marv Schatzman,196.0,90.0,1927.0,1950.0,1950.0,F,"February 18, 1927",,
182,Fred Schaus,196.0,92.0,1925.0,1950.0,1954.0,F,"June 30, 1925",,
183,Dolph Schayes*,203.0,99.0,1928.0,,,,,,
184,Milt Schoon,201.0,104.0,1922.0,1947.0,1950.0,C,"February 25, 1922",,
185,Howie Schultz,198.0,90.0,1922.0,1950.0,1953.0,C-F,"July 3, 1922",,
186,Dick Schulz,188.0,87.0,1917.0,1947.0,1950.0,F-G,"January 3, 1917",,
187,Fred Scolari,178.0,81.0,1922.0,1947.0,1955.0,G,"March 1, 1922",,
188,Wayne See,190.0,86.0,1923.0,1950.0,1950.0,G,"November 3, 1923",,
189,Glen Selbo,190.0,88.0,1926.0,1950.0,1950.0,G-F,"March 29, 1926",,
190,Rollie Seltz,178.0,74.0,1924.0,1950.0,1950.0,G-F,"January 25, 1924",,
191,Jim Seminoff,188.0,86.0,1922.0,1947.0,1950.0,G-F,"September 1, 1922",,
192,George Senesky,188.0,81.0,1922.0,1947.0,1954.0,G,"April 4, 1922",,
193,Paul Seymour,185.0,81.0,1928.0,1948.0,1960.0,G-F,"January 30, 1928",,
194,Carl Shaeffer,190.0,83.0,1924.0,1950.0,1951.0,F-G,"October 25, 1924",,
195,Howie Shannon,188.0,79.0,1923.0,1949.0,1950.0,G-F,"June 10, 1923",,
196,Charley Shipp,185.0,90.0,1913.0,1950.0,1950.0,G-F,"December 3, 1913",,
197,Connie Simmons,203.0,100.0,1925.0,1947.0,1956.0,C-F,"March 15, 1925",,
198,Belus Smawley,185.0,88.0,1918.0,1947.0,1952.0,G-F,"March 20, 1918",,
199,Jack Smiley,190.0,86.0,1922.0,1949.0,1950.0,F-G,"December 22, 1922",,
200,Chips Sobek,183.0,81.0,1920.0,1950.0,1950.0,G-F,"February 10, 1920",,
201,Odie Spears,196.0,92.0,1925.0,1949.0,1957.0,G,"June 17, 1924",,
202,Art Spector,193.0,90.0,1920.0,1947.0,1950.0,F,"October 17, 1920",,
203,Ed Stanczak,185.0,83.0,1921.0,1950.0,1951.0,F,"August 15, 1921",,
204,Gene Stump,188.0,83.0,1923.0,1948.0,1950.0,F-G,"November 13, 1923",,
205,Mike Todorovich,196.0,99.0,1923.0,1950.0,1951.0,F-C,"June 11, 1923",,
206,Jack Toomay,198.0,97.0,1922.0,1948.0,1950.0,C-F,"August 9, 1922",,
207,Bob Tough,183.0,83.0,1920.0,1949.0,1950.0,G-F,"August 28, 1920",,
208,Blackie Towery,193.0,95.0,1920.0,1949.0,1950.0,F-C,"June 20, 1920",,
209,Dick Triptow,183.0,77.0,1922.0,1949.0,1950.0,G-F,"November 3, 1922",,
210,Butch Van,183.0,77.0,1922.0,,,,,,
211,Gene Vance,190.0,88.0,1923.0,1948.0,1952.0,G-F,"February 25, 1923",,
212,Ernie Vandeweghe,190.0,88.0,1928.0,1950.0,1956.0,F-G,"September 12, 1928",,
213,Floyd Volker,193.0,92.0,1921.0,1950.0,1950.0,F-C,"June 21, 1921",,
214,Whitey Von,193.0,92.0,1921.0,,,,,,
215,Clint Wager,198.0,95.0,1920.0,1950.0,1950.0,C-F,"January 20, 1920",,
216,Danny Wagner,183.0,77.0,1922.0,1950.0,1950.0,G,"August 1, 1922",,
217,Brady Walker,198.0,92.0,1921.0,1949.0,1952.0,F-C,"March 15, 1921",,
218,Paul Walther,188.0,72.0,1927.0,1950.0,1955.0,G-F,"March 23, 1927",,
219,Bobby Wanzer*,183.0,77.0,1921.0,,,,,,
220,Murray Wier,175.0,70.0,1926.0,1950.0,1950.0,G,"December 12, 1926",,
221,D.C. Wilcutt,175.0,70.0,1926.0,1949.0,1950.0,G,"March 25, 1923",,
222,Bob Wood,175.0,70.0,1921.0,1950.0,1950.0,G,"October 7, 1921",,
223,Max Zaslofsky,188.0,77.0,1925.0,1947.0,1956.0,G-F,"December 7, 1925",,
224,,,,,,,,,,
225,Paul Arizin*,193.0,86.0,1928.0,,,,,,
226,Ed Beach,190.0,90.0,1929.0,1951.0,1951.0,F,"January 25, 1929",,
227,Leon Blevins,188.0,72.0,1926.0,1951.0,1951.0,G,"June 25, 1926",,
228,Ike Borsavage,203.0,99.0,1924.0,1951.0,1951.0,C-F,"July 25, 1924",,
229,Art Burris,196.0,99.0,1924.0,1951.0,1952.0,F,"April 7, 1924",,
230,Gerry Calabrese,185.0,79.0,1925.0,1951.0,1952.0,G,"February 4, 1925",,
231,Cal Christensen,196.0,95.0,1927.0,1951.0,1955.0,F-C,"June 6, 1927",,
232,Nat Clifton*,198.0,99.0,1922.0,,,,,,
233,Chuck Cooper,196.0,95.0,1926.0,1951.0,1956.0,F,"September 29, 1926",,
234,Bob Cousy*,185.0,79.0,1928.0,,,,,,
235,Hank DeZonie,198.0,97.0,1922.0,1951.0,1951.0,C-F,"February 12, 1922",,
236,Bob Donham,188.0,86.0,1926.0,1951.0,1954.0,G-F,"October 11, 1926",,
237,Ray Ellefson,203.0,104.0,1922.0,1949.0,1951.0,C,"November 18, 1922",,
238,Larry Foust,206.0,97.0,1928.0,1951.0,1962.0,C-F,"June 24, 1928",,
239,Ed Gayda,193.0,95.0,1927.0,1951.0,1951.0,G-F,"May 11, 1927",,
240,Joe Hutton,185.0,77.0,1928.0,1951.0,1952.0,G,"October 6, 1928",,
241,Bob Lavoy,201.0,83.0,1926.0,1951.0,1954.0,F-C,"June 29, 1926",,
242,Earl Lloyd*,196.0,90.0,1928.0,,,,,,
243,Don Lofgran,196.0,90.0,1928.0,1951.0,1954.0,F-C,"November 8, 1929",,
244,Norm Mager,196.0,83.0,1926.0,1951.0,1951.0,F,"March 23, 1926",,
245,Joe McNamee,198.0,95.0,1926.0,1951.0,1952.0,F-C,"September 24, 1926",,
246,Chuck Mrazovich,196.0,83.0,1924.0,1951.0,1951.0,F,"February 26, 1924",,
247,Ken Murray,188.0,86.0,1928.0,1951.0,1955.0,G-F,"April 20, 1928",,
248,Tommy O'Keefe,188.0,83.0,1928.0,1951.0,1951.0,G,"June 3, 1928",,
249,Kevin O'Shea,188.0,79.0,1925.0,1951.0,1953.0,G,"July 10, 1925",,
250,Don Rehfeldt,201.0,95.0,1927.0,1951.0,1952.0,F,"January 7, 1927",,
251,Jim Riffey,193.0,90.0,1923.0,1951.0,1951.0,F,"December 14, 1923",,
252,Alan Sawyer,196.0,88.0,1928.0,1951.0,1951.0,F,"January 1, 1928",,
253,Herb Scherer,206.0,96.0,1928.0,1951.0,1952.0,C,"December 21, 1928",,
254,Dick Schnittker,196.0,90.0,1928.0,1951.0,1958.0,F,"May 27, 1928",,
255,Bill Sharman*,185.0,79.0,1926.0,,,,,,
256,Don Barksdale*,198.0,90.0,1923.0,,,,,,
257,Elmer Behnke,201.0,95.0,1929.0,1952.0,1952.0,C,"February 3, 1929",,
258,Stan Brown,190.0,90.0,1929.0,1948.0,1952.0,F,"June 27, 1929",,
259,Ed Dahler,196.0,86.0,1926.0,1952.0,1952.0,F,"January 31, 1926",,
260,Nate DeLong,198.0,99.0,1926.0,1952.0,1952.0,C,"January 5, 1926",,
261,Dick Dickey,185.0,79.0,1926.0,1952.0,1952.0,G,"October 26, 1926",,
262,Jake Fendley,183.0,81.0,1929.0,1952.0,1953.0,G,"June 12, 1929",,
263,Jerry Fowler,203.0,104.0,1927.0,1952.0,1952.0,C,"June 20, 1927",,
264,Lew Hitch,203.0,90.0,1929.0,1952.0,1957.0,F-C,"July 16, 1929",,
265,Mel Hutchins,198.0,90.0,1928.0,1952.0,1958.0,F-C,"November 22, 1928",,
266,Neil Johnston*,203.0,95.0,1929.0,,,,,,
267,Jack Kiley,185.0,77.0,1929.0,1952.0,1953.0,G,"January 5, 1929",,
268,George King,183.0,79.0,1928.0,1952.0,1958.0,G,"August 16, 1928",,
269,John McConathy,196.0,88.0,1930.0,1952.0,1952.0,F,"April 9, 1930",,
270,Alfred McGuire*,188.0,81.0,1928.0,,,,,,
271,Dave Minor,188.0,83.0,1922.0,1952.0,1953.0,G-F,"February 23, 1922",,
272,Ralph O'Brien,175.0,72.0,1928.0,1952.0,1953.0,G,"April 8, 1928",,
273,Wally Osterkorn,196.0,97.0,1928.0,1952.0,1955.0,F-C,"July 6, 1928",,
274,Mel Payton,193.0,83.0,1926.0,1952.0,1953.0,F-G,"July 16, 1926",,
275,John Pilch,190.0,83.0,1925.0,1952.0,1952.0,F,"July 11, 1925",,
276,Ray Ragelis,193.0,92.0,1928.0,1952.0,1952.0,F,"December 10, 1928",,
277,Sam Ranzino,185.0,83.0,1927.0,1952.0,1952.0,G,"June 23, 1928",,
278,John Rennicke,188.0,83.0,1929.0,1952.0,1952.0,G,"August 11, 1929",,
279,Don Savage,190.0,92.0,1928.0,1952.0,1957.0,F-G,"April 9, 1928",,
280,Chuck Share,211.0,106.0,1927.0,1952.0,1960.0,C,"March 14, 1927",,
281,Zeke Sinicola,178.0,74.0,1929.0,1952.0,1954.0,G,"January 25, 1929",,
282,Whitey Skoog,180.0,81.0,1926.0,1952.0,1957.0,G,"November 2, 1926",,
283,Jim Slaughter,211.0,95.0,1928.0,1952.0,1952.0,C,"May 13, 1928",,
284,Bill Tosheff,185.0,79.0,1926.0,1952.0,1954.0,G,"June 2, 1926",,
285,Bob Wilson,193.0,83.0,1926.0,1952.0,1952.0,G,"March 8, 1926",,
286,Jim Baechtold,193.0,92.0,1927.0,1953.0,1957.0,F-G,"December 9, 1927",,
287,Jim Brasco,185.0,77.0,1931.0,1953.0,1953.0,G,"February 3, 1931",,
288,Dick Bunt,183.0,77.0,1930.0,1953.0,1953.0,G,"July 13, 1930",,
289,Gene Conley,203.0,102.0,1930.0,1953.0,1964.0,C-F,"November 10, 1930",,
290,Pete Darcey,201.0,98.0,1930.0,1953.0,1953.0,C,"March 3, 1930",,
291,Blaine Denning,188.0,79.0,1930.0,1953.0,1953.0,G,"September 19, 1930",,
292,Danny Finn,185.0,83.0,1928.0,1953.0,1955.0,G,"May 29, 1928",,
293,Dick Groat,180.0,81.0,1930.0,1953.0,1953.0,G,"November 4, 1930",,
294,Don Hanrahan,201.0,90.0,1929.0,1953.0,1953.0,F,"February 6, 1929",,
295,Don Henriksen,201.0,102.0,1929.0,1953.0,1955.0,F-C,"October 10, 1929",,
296,Jim Holstein,190.0,81.0,1930.0,1953.0,1956.0,F-G,"September 24, 1930",,
297,Bob Lochmueller,196.0,83.0,1927.0,1953.0,1953.0,F,"June 5, 1927",,
298,Mo Mahoney,188.0,92.0,1927.0,1953.0,1954.0,F,"November 20, 1927",,
299,Al Masino,178.0,78.0,1928.0,1953.0,1954.0,G,"February 5, 1928",,
300,Jack McCloskey,188.0,86.0,1925.0,1953.0,1953.0,G,"September 19, 1925",,
301,Bucky McConnell,178.0,77.0,1928.0,1953.0,1953.0,G,"July 1, 1928",,
302,George McLeod,196.0,90.0,1931.0,1953.0,1953.0,F,"January 3, 1931",,
303,Jack McMahon,185.0,83.0,1928.0,1953.0,1960.0,G,"December 3, 1928",,
304,Monk Meineke,201.0,94.0,1930.0,1953.0,1958.0,F-C,"October 30, 1930",,
305,Eddie Miller,203.0,102.0,1931.0,1953.0,1954.0,C-F,"June 18, 1931",,
306,Bill Mlkvy,193.0,86.0,1931.0,1953.0,1953.0,F,"January 19, 1931",,
